id	neighbourhood
14613942	
7205456	Greenpoint
5894720	
14807617	
11555593	Fort Greene
8516148	Chelsea
4846138	Greenwich Village
15069734	Upper East Side
1856261	
9433627	Upper East Side
9564677	Battery Park City
8628309	Financial District
9826822	Bedford-Stuyvesant
1307137	Bedford-Stuyvesant
5239288	Washington Heights
12972533	Lower East Side
2093536	Bedford-Stuyvesant
14807548	Greenwich Village
1331960	Bedford-Stuyvesant
3273170	Washington Heights
4977140	Bedford-Stuyvesant
4059620	Soho
12448198	Bedford-Stuyvesant
8384981	Hell's Kitchen
3273182	Williamsburg
651708	Long Island City
12186043	Crown Heights
3010978	East Harlem
12579252	
7074232	Bedford-Stuyvesant
7262439	Bedford-Stuyvesant
127387	Gowanus
3928458	Park Slope
258412	Harlem
1266411	Bedford-Stuyvesant
10088841	Upper West Side
651648	Clinton Hill
7860613	Morningside Heights
7205212	Upper West Side
15069564	Crown Heights
11137382	Bedford-Stuyvesant
9370501	Murray Hill
12710215	Hamilton Heights
8192079	Hamilton Heights
9171260	Bedford-Stuyvesant
258284	Clinton Hill
6356359	Park Slope
651544	Upper East Side
651475	Gramercy Park
4452641	East Village
9326853	Williamsburg
14413034	Hell's Kitchen
1710729	Astoria
14806247	Financial District
9825505	Financial District
12145189	Hell's Kitchen
10611916	Williamsburg
9563325	Chelsea
13495484	Prospect Heights
15068341	Ridgewood
7072937	Harlem
9825448	
6810789	
11922580	Morningside Heights
13233311	Midtown
10087575	Hamilton Heights
5893277	Astoria
2051159	
14450761	Lower East Side
7776105	Hell's Kitchen
8383633	Bushwick
5106823	Upper West Side
9825420	Park Slope
7728262	Bedford-Stuyvesant
7728265	Clinton Hill
13495419	Harlem
126067	Civic Center
14937204	Nolita
13761725	Harlem
13233253	Bedford-Stuyvesant
7203943	Williamsburg
14281824	
7728222	Flatbush
9694297	Woodhaven
6286420	
9563211	Williamsburg
14806090	West Village
8907844	Upper East Side
14412867	Rego Park
5106749	Astoria
13495361	Greenwich Village
9694265	Williamsburg
10611761	Williamsburg
4302685	Astoria
152071	Park Slope
9956388	
13233187	Lower East Side
7203867	Hell's Kitchen
2160591	Bushwick
12560192	Harlem
11922306	Crown Heights
12970873	
9169795	Soundview
5761908	Chelsea
3533669	West Village
12970866	
7596900	Noho
12970861	Hell's Kitchen
3664714	Greenpoint
6155072	Clinton Hill
3402562	Brooklyn Heights
10087253	Bedford-Stuyvesant
10572255	Greenwich Village
6679376	Forest Hills
11660095	
13101855	Flatlands
15067943	Midwood
14220422	The Rockaways
15116082	
9694001	West Village
13495082	Williamsburg
2838999	Hell's Kitchen
12446494	Hell's Kitchen
13224318	Ozone Park
2932779	Crown Heights
763691	Hamilton Heights
8693545	
14281460	Bedford-Stuyvesant
13495021	Union Square
3402474	Financial District
7596751	Midtown
8383187	Greenwich Village
13630584	
12184272	Upper West Side
9431547	Soho
4582087	Hell's Kitchen
6552694	Bushwick
1305265	Kensington
4188848	
649903	Crown Heights
5499562	Upper West Side
13232818	Alphabet City
3037524	Fort Greene
6705606	Rego Park
649878	Greenpoint
6967748	
13783491	Hell's Kitchen
8776329	Flatbush
13084438	Greenpoint
7858824	Midtown East
2243180	Upper West Side
9693821	East Harlem
13494898	Chelsea
9693809	Ridgewood
13494895	East Harlem
1043046	Chelsea
12184165	Upper West Side
8907362	Alphabet City
911964	Kensington
13888093	Upper West Side
5106252	Washington Heights
10086994	Bedford-Stuyvesant
14543423	Clinton Hill
12708411	
10038211	East Village
7858726	East Village
3664439	Murray Hill
3533360	Chelsea
10218027	Harlem
9955886	East Harlem
12053021	East Village
4581942	Greenwood Heights
9824807	Harlem
1698334	Williamsburg
6285844	Bushwick
6006530	Upper West Side
13940091	Murray Hill
6679063	Hell's Kitchen
12970522	Hell's Kitchen
12446224	Hell's Kitchen
6023683	Ozone Park
911867	Soho
13281024	Lower East Side
14267429	Morningside Heights
6246825	Park Slope
1567225	Upper West Side
7072245	Alphabet City
11753465	Midtown East
14805488	Harlem
10086888	Financial District
10086882	Alphabet City
14805464	Upper East Side
2091483	Prospect Heights
11659714	Kips Bay
12538274	Chelsea
7727560	Bedford-Stuyvesant
7841521	Williamsburg
9863626	Crown Heights
9824682	Greenpoint
741783	West Village
256369	Cobble Hill
14805414	Greenpoint
4936091	Sunnyside
8513953	Bay Ridge
11790749	Brighton Beach
9955725	
4581788	
5106020	West Village
7768655	East Village
2008815	Upper East Side
3271052	Boerum Hill
9562515	Fort Greene
9955722	East Harlem
10086741	Midtown
9217770	Crown Heights
964514	Soho
7858541	
3139918	Boerum Hill
2091367	Crown Heights
9824613	Kips Bay
2222428	Flatiron District
14412107	
9431369	
6416714	Williamsburg
7858468	Hell's Kitchen
7596341	Midtown East
8513839	Williamsburg
5105966	Williamsburg
9169181	Upper West Side
4974843	West Brighton
64551	Alphabet City
4040407	Upper East Side
1965103	East Village
15198492	
9575562	Williamsburg
4057361	Astoria
3402000	Soho
4324388	Park Slope
13625610	Lower East Side
13494532	Upper East Side
4188351	Bedford-Stuyvesant
3401937	Crown Heights
9434801	Bushwick
7764285	Williamsburg
11790536	Lower East Side
7775924	Flatiron District
3139623	Chelsea
1566714	Chelsea
11659296	Williamsburg
3967145	Lower East Side
1304604	Kips Bay
11397141	Williamsburg
12445714	Hamilton Heights
14805001	Clinton Hill
5629953	Hamilton Heights
9217707	Rego Park
7071744	Morningside Heights
4581368	Kips Bay
12756649	Midwood
255996	Bedford-Stuyvesant
11659242	Lower East Side
7858169	Financial District
7596004	Clinton Hill
5105632	Prospect Heights
255957	Lower East Side
4974546	Lower East Side
780238	Hamilton Heights
10086344	Bedford-Stuyvesant
566943	Harlem
3663798	Williamsburg
763552	Gowanus
14935998	
7071677	Bushwick
7071672	Harlem
7858096	Gramercy Park
3139489	Bushwick
9693107	Clinton Hill
9168813	Crown Heights
9168809	Bedford-Stuyvesant
9433088	Williamsburg
11659180	Williamsburg
12472647	
5892010	Washington Heights
2221988	Greenpoint
1304459	Williamsburg
13264522	East Village
11528086	Bushwick
13625247	Forest Hills
13625233	Fort Greene
14744559	Harlem
12052345	Bedford-Stuyvesant
3401586	Crown Heights
7202612	Williamsburg
14935928	
12188651	Chelsea
6585852	Upper West Side
10572094	Bedford-Stuyvesant
1304410	Williamsburg
7858023	Alphabet City
9561948	
13756235	Kips Bay
9824112	
3603426	Bedford-Stuyvesant
9955143	Lower East Side
10872646	Harlem
11396922	Prospect Heights
14280510	Chelsea
15181451	Downtown Brooklyn
2615065	Williamsburg
9561902	Midtown
9824042	Kips Bay
14415799	Williamsburg
386799	Midtown
3270428	East Village
7775874	Upper West Side
911092	Alphabet City
14673672	Sheepshead Bay
12969732	East Harlem
610596	Gowanus
14935799	
8906465	Crown Heights
4450020	Flatbush
14804704	
5241805	
255672	West Village
5891777	Great Kills
9168586	Gowanus
6678207	
13100726	East Harlem
14804661	West Brighton
4695667	Astoria
8775344	Crown Heights
8644240	Crown Heights
255601	Bedford-Stuyvesant
12052125	Chinatown
13761478	
13494825	Bedford-Stuyvesant
5236375	Stapleton
8775324	Crown Heights
8906379	Harlem
10086029	West Village
14280327	
1304181	Midtown East
15066761	Astoria
7726724	Bushwick
5106703	Fort Greene
12254380	Midtown
12446715	Carroll Gardens
2094049	Chelsea
9169918	West Village
912376	Bedford-Stuyvesant
2223082	Chelsea
6155250	Flatbush
14805984	Canarsie
